score,probability
-48,0.0000000243
-41,0.0000001944
-40,0.0000001944
-39,0.0000001944
-38,0.0000001944
-37,0.0000001944
-34,0.0000006803
-33,0.0000013606
-32,0.0000020410
-31,0.0000027213
-30,0.0000034016
-29,0.0000027213
-28,0.0000020410
-27,0.0000027213
-26,0.0000047622
-25,0.0000081638
-24,0.0000136064
-23,0.0000204095
-22,0.0000244915
-21,0.0000258521
-20,0.0000284953
-19,0.0000292319
-18,0.0000321918
-17,0.0000451516
-16,0.0000667842
-15,0.0000959391
-14,0.0001264993
-13,0.0001641525
-12,0.0001872703
-11,0.0001975878
-10,0.0002136511
-9,0.0002432554
-8,0.0002953484
-7,0.0003889374
-6,0.0005432369
-5,0.0007120496
-4,0.0008704872
-3,0.0010023835
-2,0.0011026721
-1,0.0011651332
0,0.0012645265
1,0.0014891289
2,0.0018520261
3,0.0023443155
4,0.0029203696
5,0.0034876191
6,0.0039124767
7,0.0041813523
8,0.0043621374
9,0.0045636755
10,0.0051644668
11,0.0059739235
12,0.0070196242
13,0.0083785770
14,0.0097173934
15,0.0111736587
16,0.0131073497
17,0.0154544492
18,0.0183425133
19,0.0223326501
20,0.0291775308
21,0.0386661560
22,0.0531530022
23,0.0701801913
24,0.0876065031
25,0.0985380025
26,0.1009673029
27,0.0948877405
28,0.0820514163
29,0.0654857712
30,0.0482760019
31,0.0328532341
32,0.0205880536
33,0.0118516800
34,0.0062274095
35,0.0029553808
36,0.0012439740
37,0.0004523542
38,0.0001357063
39,0.0000301569
40,0.0000037696
