score	cdf
-48	0.0000000003
-41	0.0000000037
-40	0.0000000077
-39	0.0000000116
-38	0.0000000156
-37	0.0000000196
-34	0.0000000364
-33	0.0000000763
-32	0.0000001400
-31	0.0000002276
-30	0.0000003390
-29	0.0000004346
-28	0.0000005063
-27	0.0000006049
-26	0.0000008095
-25	0.0000012082
-24	0.0000019160
-23	0.0000030237
-22	0.0000044417
-21	0.0000060055
-20	0.0000076360
-19	0.0000094350
-18	0.0000117246
-17	0.0000152868
-16	0.0000212067
-15	0.0000303301
-14	0.0000429502
-13	0.0000588122
-12	0.0000772630
-11	0.0000977329
-10	0.0001210980
-9	0.0001506611
-8	0.0001919759
-7	0.0002517607
-6	0.0003364256
-5	0.0004498090
-4	0.0005917130
-3	0.0007594181
-2	0.0009517205
-1	0.0011739659
0	0.0014426497
1	0.0017876494
2	0.0022486378
3	0.0028659988
4	0.0036705278
5	0.0046771032
6	0.0058861270
7	0.0072970064
8	0.0089327719
9	0.0108664945
10	0.0132381587
11	0.0162524486
12	0.0201535299
13	0.0251819828
14	0.0315329669
15	0.0393424644
16	0.0487245764
17	0.0598696507
18	0.0731939444
19	0.0895035927
20	0.1101112419
21	0.1368383147
22	0.1718499047
23	0.2173061493
24	0.2748621594
25	0.3450982891
26	0.4270033907
27	0.5176644264
28	0.6123315881
29	0.7049863675
30	0.7893962253
31	0.8604195097
32	0.9151296710
33	0.9533201817
34	0.9771816202
35	0.9903162644
36	0.9965509101
37	0.9990234182
38	0.9998014896
39	0.9999778771
40	1.0000000000
