score	cdf
0	0.2694611132
16	0.2694620200
17	0.2694692781
18	0.2695019493
19	0.2696108803
20	0.3128466463
21	0.3543360373
22	0.4858902915
23	0.6048966763
24	0.6961770511
25	0.7618496304
26	0.8037540712
27	0.8300585699
28	0.8411494088
29	0.8549604812
30	0.8711946611
31	0.8892200475
32	0.9081221713
33	0.9268262885
34	0.9442707257
35	0.9595817516
36	0.9722046239
37	0.9819584109
38	0.9890046044
39	0.9937470207
40	0.9967070746
41	0.9984101645
42	0.9993064469
43	0.9997317970
44	0.9999107891
45	0.9999758241
46	0.9999952749
47	0.9999995349
48	1.0000000000
