score,probability
0,0.2694611132
16,0.0000009068
17,0.0000072581
18,0.0000326711
19,0.0001089311
20,0.0432357660
21,0.0414893910
22,0.1315542542
23,0.1190063847
24,0.0912803748
25,0.0656725793
26,0.0419044408
27,0.0263044986
28,0.0110908389
29,0.0138110724
30,0.0162341799
31,0.0180253863
32,0.0189021238
33,0.0187041172
34,0.0174444372
35,0.0153110259
36,0.0126228723
37,0.0097537870
38,0.0070461934
39,0.0047424163
40,0.0029600539
41,0.0017030899
42,0.0008962824
43,0.0004253501
44,0.0001789920
45,0.0000650351
46,0.0000194508
47,0.0000042600
48,0.0000004651
